Make,Model,Variant,Ex-Showroom_Price,Fuel_Type,Power,Torque,Displacement,Fuel_Tank_Capacity,Type,Body_Type,Seating_Capacity,ARAI_Certified_Mileage,Length,Width,Height,Kerb_Weight,Ground_Clearance,Front_Brakes,Rear_Brakes,ABS_(Anti-lock_Braking_System),Airbags
Bmw,7-Series,745Le Xdrive,"Rs. 1,65,00,000",Hybrid,286PS@5000-6000RPM,450Nm@1380-5000RPM,2998 cc,46 litres,Automatic,Sedan,4.0,,5219 mm,2142 mm,1481 mm,,152 mm,Ventilated Disc,Ventilated Disc,Yes,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag"
Bmw,7-Series,M760Li Xdrive,"Rs. 2,42,50,000",Petrol,609PS@5400-6500RPM,850Nm@1550-5000RPM,6592 cc,78 litres,Automatic,Sedan,4.0,7.96 km/litre,5219 mm,2142 mm,1481 mm,,152 mm,Ventilated Disc,Ventilated Disc,Yes,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag"
Audi,Q8,55 Tfsi Quattro Tiptronic,"Rs. 1,33,59,500",Petrol,340PS@5000rpm,500Nm@1370rpm,2995 cc,85 litres,Automatic,SUV,7.0,,5052 mm,1968 mm,1740 mm,2115 kg,200 mm,Ventilated Disc,Ventilated Disc,Yes,"Driver head airbag, Front passenger head airbag, Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag"
,Mercedes-Benz S-Class,S 350 D,"Rs. 1,35,58,438",Diesel,258PS@3600rpm,620Nm@1600-2400rpm,2987 cc,90 litres,Automatic,Sedan,5.0,13.5 km/litre,5116 mm,1899 mm,1494 mm,2132 kg,140 mm,Ventilated Disc,Ventilated Disc,Yes,"Curtain airbags, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags"
,Mercedes-Benz S-Class,S 450,"Rs. 1,39,76,653",Petrol,333PS@6000RPM,480Nm@1600-4000RPM,2996 cc,70 litres,Automatic,Sedan,5.0,7.8 km/litre,5246 mm,1899 mm,1494 mm,2113 kg,109 mm,Ventilated Disc,Ventilated Disc,Yes,"Curtain airbags, Driver frontal airbag, Drive side airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags"
,Mercedes-Benz S-Class,Amg S 63 Coupe,"Rs. 2,55,00,000",Petrol,450PS@5500-6000RPM,900Nm@2750-4500rpm,3982 cc,80 litres,Automatic,Coupe,4.0,14 km/litre,5027 mm,1899 mm,1411 mm,2080 kg,140 mm,Ventilated Disc,Ventilated Disc,Yes,"Drive side airbag, Front passenger curtain airbag, Rear passenger head airbags, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags"
Maserati,Levante,Diesel,"Rs. 1,45,12,054",Diesel,275PS@4000rpm,600Nm@2000-2600rpm,2987 cc,80 litres,Automatic,SUV,4.0,7.9 km/litre,5003 mm,2158 mm,1679 mm,,,Ventilated Disc,Ventilated Disc,Yes,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags"
Maserati,Levante,Gransport,"Rs. 1,48,63,774",Diesel,350PS@5750rpm,500Nm@4500-5000rpm,2979 cc,80 litres,Automatic,SUV,4.0,7.9 km/litre,5003 mm,2158 mm,1679 mm,,,Ventilated Disc,Ventilated Disc,Yes,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags"
Maserati,Levante,Granlusson,"Rs. 1,53,83,399",Diesel,430PS@5750rpm,580Nm@4500-5000rpm,2979 cc,80 litres,Automatic,SUV,4.0,7.9 km/litre,5003 mm,2158 mm,1679 mm,,,Ventilated Disc,Ventilated Disc,Yes,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags"
,Mercedes-Benz G-Class,Amg G 63,"Rs. 2,18,75,136",Petrol,585hp@6000rpm,850Nm@2500-3500rpm,3982 cc,96 litres,Automatic,SUV,7.0,,4763 mm,1855 mm,1938 mm,2560 kg,205 mm,Ventilated Disc,Ventilated Disc,Yes,"Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Rear passenger pelvic airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver head airbag, Front passenger head airbag"
